frame_index,frame_time_ms,exceeds_60fps_threshold
0,2.8738,0
1,2.6428,0
2,2.6248,0
3,2.6700,0
4,2.7724,0
5,2.5337,0
6,2.9147,0
7,2.8119,0
8,2.5489,0
9,2.6011,0
10,2.7822,0
11,2.4721,0
12,2.5907,0
13,2.8240,0
14,2.5923,0
15,2.4915,0
16,2.8575,0
17,2.7306,0
18,2.6973,0
19,2.4379,0
20,2.5325,0
21,2.3288,0
22,2.2835,0
23,2.6499,0
24,2.9915,0
25,2.5033,0
26,2.4244,0
27,2.2218,0
28,2.6443,0
29,2.4685,0
30,2.7178,0
31,2.7228,0
32,2.7789,0
33,2.5205,0
34,2.7945,0
35,2.4684,0
36,2.6877,0
37,2.5291,0
38,2.5807,0
39,2.7850,0
40,2.4042,0
41,2.6636,0
42,2.4810,0
43,2.2953,0
44,2.7037,0
45,2.2703,0
46,2.3206,0
47,2.5064,0
48,2.5780,0
49,2.4579,0
50,2.4990,0
51,2.4806,0
52,2.6656,0
53,2.6241,0
54,3.2913,0
55,2.7480,0
56,3.0211,0
57,2.8731,0
58,2.9276,0
59,2.6678,0
60,2.5208,0
61,2.4695,0
62,2.5728,0
63,2.6833,0
64,2.8142,0
65,2.9553,0
66,2.6754,0
67,2.7969,0
68,2.6357,0
69,2.5811,0
70,2.9890,0
71,2.5609,0
72,2.5285,0
73,2.7130,0
74,2.4158,0
75,2.7966,0
76,2.7936,0
77,2.8470,0
78,2.9420,0
79,2.4007,0
80,2.4599,0
81,3.0756,0
82,3.1423,0
83,2.4340,0
84,2.9725,0
85,3.0537,0
86,2.8714,0
87,2.5681,0
88,2.9072,0
89,2.5998,0
90,2.4103,0
91,2.5272,0
92,2.8305,0
93,2.4022,0
94,2.8074,0
95,2.5705,0
96,2.5021,0
97,2.5053,0
98,2.7325,0
99,2.5533,0
100,2.7610,0
101,2.3399,0
102,2.8962,0
103,2.5288,0
104,2.4190,0
105,2.2326,0
106,2.4303,0
107,2.4492,0
108,2.6405,0
109,2.4681,0
110,2.5268,0
111,2.5357,0
112,2.5643,0
113,2.8652,0
114,2.5263,0
115,2.2064,0
116,2.2737,0
117,2.2615,0
118,2.2694,0
119,2.9266,0
120,3.3082,0
121,2.9605,0
122,2.8483,0
123,2.7529,0
124,2.9573,0
125,3.0582,0
126,2.8113,0
127,2.8379,0
128,2.7697,0
129,2.6241,0
130,2.8475,0
131,2.5263,0
132,2.4267,0
133,2.6575,0
134,2.6703,0
135,2.8040,0
136,2.9340,0
137,2.9266,0
138,3.0194,0
139,2.7187,0
140,3.1036,0
141,2.5246,0
142,2.4876,0
143,2.9823,0
144,2.6890,0
145,2.2946,0
146,2.7924,0
147,2.8739,0
148,3.0470,0
149,2.7383,0
150,2.6526,0
151,2.6729,0
152,3.0572,0
153,3.1093,0
154,3.1506,0
155,3.1213,0
156,3.2230,0
157,3.0020,0
158,3.0563,0
159,2.6661,0
160,2.9825,0
161,2.7458,0
162,2.8173,0
163,2.4284,0
164,3.0965,0
165,2.8932,0
166,2.8710,0
167,2.6197,0
168,3.2897,0
169,2.6508,0
170,2.6048,0
171,2.5605,0
172,2.6608,0
173,2.4698,0
174,2.7142,0
175,2.3233,0
176,2.8900,0
177,2.5693,0
178,2.4740,0
179,3.0354,0
180,3.2179,0
181,2.8648,0
182,2.8948,0
183,2.8920,0
184,2.6430,0
185,2.8381,0
186,3.1172,0
187,2.7611,0
188,2.6126,0
189,2.4353,0
190,2.2337,0
191,2.7226,0
192,2.4838,0
193,2.5391,0
194,2.5544,0
195,2.6490,0
196,2.4878,0
197,2.9585,0
198,2.6166,0
199,2.8947,0
